packet_id,timestamp,temperature,pressure,humidity,density,concentration,crc_ok
1748935932,2025-06-02 22:14:15,26,1010,73,5,60,True
1748935935,2025-06-02 22:14:18,24,995,43,5,67,True
1748935938,2025-06-02 22:14:21,28,1001,48,1,77,True
1748935941,2025-06-02 22:14:24,24,1006,70,1,132,True
1748935944,2025-06-02 22:14:27,23,992,67,4,85,True
1748935947,2025-06-02 22:14:30,29,984,65,2,120,True
1748935950,2025-06-02 22:14:33,24,986,34,3,88,True
1748935953,2025-06-02 22:14:36,26,990,47,4,108,True
1748935956,2025-06-02 22:14:39,24,1012,70,5,80,True
1748935959,2025-06-02 22:14:42,26,994,79,5,70,True
1748935962,2025-06-02 22:14:45,22,1000,43,5,100,True
1748935965,2025-06-02 22:14:48,30,1017,55,2,91,True
1748935968,2025-06-02 22:14:51,28,981,74,3,116,True
1748935971,2025-06-02 22:14:54,27,1011,77,3,90,True
1748935974,2025-06-02 22:14:57,21,985,72,1,131,True
1748935977,2025-06-02 22:15:00,24,1017,72,3,75,True
1748935980,2025-06-02 22:15:03,22,998,74,5,126,True
1748935983,2025-06-02 22:15:06,23,1014,63,4,129,True
1748935986,2025-06-02 22:15:09,26,983,48,2,89,True
1748935989,2025-06-02 22:15:12,24,994,67,5,133,True
1748935992,2025-06-02 22:15:15,20,991,76,4,127,True
1748935995,2025-06-02 22:15:18,28,988,35,2,86,True
1748935998,2025-06-02 22:15:21,21,985,64,2,50,True
1748936001,2025-06-02 22:15:24,29,1014,37,3,112,True
1748936004,2025-06-02 22:15:27,26,1016,43,5,135,True
1748936007,2025-06-02 22:15:30,25,1012,30,5,105,True
1748936010,2025-06-02 22:15:33,20,990,38,1,81,True
1748936013,2025-06-02 22:15:36,26,1019,45,3,50,True
1748936016,2025-06-02 22:15:39,30,1008,40,3,91,True
1748936019,2025-06-02 22:15:42,21,1006,64,5,75,True
1748936022,2025-06-02 22:15:45,20,1020,75,5,82,True
1748936025,2025-06-02 22:15:48,20,986,76,2,123,True
1748936028,2025-06-02 22:15:51,26,1003,37,3,114,True
1748936031,2025-06-02 22:15:54,25,991,78,4,147,True
1748936034,2025-06-02 22:15:57,28,1008,61,3,115,True
1748936037,2025-06-02 22:16:00,26,994,50,2,91,True
1748936040,2025-06-02 22:16:03,29,1018,41,4,57,True
1748936043,2025-06-02 22:16:06,28,981,66,4,125,True
1748936046,2025-06-02 22:16:09,30,1005,67,1,84,True
1748936049,2025-06-02 22:16:12,28,1020,38,3,78,True
1748936052,2025-06-02 22:16:15,20,999,49,1,117,True
1748936055,2025-06-02 22:16:18,22,989,54,4,133,True
1748936058,2025-06-02 22:16:21,22,996,57,3,103,True
1748936061,2025-06-02 22:16:24,24,999,45,4,75,True
1748936064,2025-06-02 22:16:27,20,1010,62,3,142,True
1748936067,2025-06-02 22:16:30,21,1012,40,1,128,True
1748936070,2025-06-02 22:16:33,29,1003,72,5,85,True
1748936073,2025-06-02 22:16:36,21,1001,58,4,145,True
1748936076,2025-06-02 22:16:39,24,1014,44,2,145,True
1748936079,2025-06-02 22:16:42,21,981,79,2,99,True
1748936082,2025-06-02 22:16:45,28,1001,54,3,81,True
1748936085,2025-06-02 22:16:48,28,996,71,5,59,True
1748936088,2025-06-02 22:16:51,25,1018,58,4,148,True
1748936091,2025-06-02 22:16:54,21,1018,32,1,137,True
1748936094,2025-06-02 22:16:57,22,1017,51,4,66,True
1748936097,2025-06-02 22:17:00,24,1015,33,4,145,True
1748936100,2025-06-02 22:17:03,26,1005,71,4,98,True
1748936103,2025-06-02 22:17:06,25,992,30,3,148,True
1748936106,2025-06-02 22:17:09,29,983,55,5,71,True
1748936109,2025-06-02 22:17:12,23,983,70,4,59,True
1748936112,2025-06-02 22:17:15,25,1010,42,4,105,True
1748936115,2025-06-02 22:17:18,23,1006,39,2,116,True
1748936118,2025-06-02 22:17:21,24,1003,38,1,118,True
1748936121,2025-06-02 22:17:24,24,1011,65,3,117,True
1748936124,2025-06-02 22:17:27,23,1008,55,1,66,True
1748936127,2025-06-02 22:17:30,27,994,67,1,58,True
1748936130,2025-06-02 22:17:33,29,996,43,3,116,True
1748936133,2025-06-02 22:17:36,25,1016,51,4,130,True
1748936136,2025-06-02 22:17:39,21,1002,76,5,56,True
1748936139,2025-06-02 22:17:42,28,992,37,4,138,True
1748936142,2025-06-02 22:17:45,23,1000,44,2,64,True
1748936145,2025-06-02 22:17:48,25,985,79,1,93,True
