packet_id,timestamp,temperature,pressure,humidity,density,concentration,run_number,distance_m
1748943437,2025-06-03 14:37:17,25,986,40,5,126,6,1100
1748943440,2025-06-03 14:37:20,25,1004,48,2,69,6,1100
1748943443,2025-06-03 14:37:23,23,1001,54,1,107,6,1100
1748943446,2025-06-03 14:37:26,29,984,60,3,120,6,1100
1748943449,2025-06-03 14:37:29,29,983,79,2,119,6,1100
1748943452,2025-06-03 14:37:32,26,982,34,1,94,6,1100
1748943455,2025-06-03 14:37:35,23,987,71,1,108,6,1100
1748943458,2025-06-03 14:37:38,28,1012,51,4,79,6,1100
1748943461,2025-06-03 14:37:41,25,997,35,5,136,6,1100
1748943464,2025-06-03 14:37:44,21,1016,67,3,99,6,1100
1748943467,2025-06-03 14:37:47,21,999,78,5,72,6,1100
1748943470,2025-06-03 14:37:50,20,981,51,5,95,6,1100
1748943473,2025-06-03 14:37:53,22,1000,34,4,143,6,1100
1748943476,2025-06-03 14:37:56,23,1010,57,4,77,6,1100
1748943479,2025-06-03 14:37:59,30,1019,45,4,101,6,1100
1748943482,2025-06-03 14:38:02,28,1000,46,5,82,6,1100
1748943485,2025-06-03 14:38:05,26,983,59,3,67,6,1100
1748943488,2025-06-03 14:38:08,26,1015,55,4,96,6,1100
1748943491,2025-06-03 14:38:11,29,986,68,1,80,6,1100
1748943494,2025-06-03 14:38:14,20,988,36,4,100,6,1100
1748943497,2025-06-03 14:38:17,27,1002,32,1,60,6,1100
1748943500,2025-06-03 14:38:20,24,982,38,2,139,6,1100
1748943503,2025-06-03 14:38:23,20,984,61,2,116,6,1100
1748943506,2025-06-03 14:38:26,28,1004,31,4,102,6,1100
1748943509,2025-06-03 14:38:29,29,1013,80,5,60,6,1100
1748943512,2025-06-03 14:38:32,29,990,76,2,50,6,1100
1748943515,2025-06-03 14:38:35,30,999,30,3,53,6,1100
1748943518,2025-06-03 14:38:38,25,1008,70,3,74,6,1100
1748943521,2025-06-03 14:38:41,30,1017,74,5,69,6,1100
1748943524,2025-06-03 14:38:44,23,1006,73,2,58,6,1100
1748943527,2025-06-03 14:38:47,24,984,68,1,83,6,1100
1748943530,2025-06-03 14:38:50,25,990,46,2,122,6,1100
1748943533,2025-06-03 14:38:53,25,1018,65,5,143,6,1100
1748943536,2025-06-03 14:38:56,24,1002,38,5,120,6,1100
1748943539,2025-06-03 14:38:59,21,1016,71,1,87,6,1100
1748943542,2025-06-03 14:39:02,28,999,43,2,79,6,1100
1748943545,2025-06-03 14:39:05,29,994,56,1,51,6,1100
1748943548,2025-06-03 14:39:08,28,984,71,5,99,6,1100
1748943551,2025-06-03 14:39:11,21,990,52,2,86,6,1100
1748943554,2025-06-03 14:39:14,30,1009,56,1,81,6,1100
1748943557,2025-06-03 14:39:17,28,986,34,4,68,6,1100
1748943560,2025-06-03 14:39:20,24,990,62,1,138,6,1100
1748943563,2025-06-03 14:39:23,29,1009,78,1,136,6,1100
1748943566,2025-06-03 14:39:26,26,981,38,3,52,6,1100
1748943569,2025-06-03 14:39:29,25,997,71,2,134,6,1100
1748943572,2025-06-03 14:39:32,20,996,74,4,58,6,1100
1748943575,2025-06-03 14:39:35,24,998,71,2,71,6,1100
1748943578,2025-06-03 14:39:38,21,980,37,2,123,6,1100
1748943581,2025-06-03 14:39:41,23,1015,64,2,92,6,1100
1748943584,2025-06-03 14:39:44,23,1017,36,2,69,6,1100
1748943587,2025-06-03 14:39:47,26,1018,33,2,50,6,1100
1748943590,2025-06-03 14:39:50,27,994,38,5,140,6,1100
1748943593,2025-06-03 14:39:53,24,984,30,2,115,6,1100
1748943596,2025-06-03 14:39:56,25,1012,63,2,117,6,1100
1748943599,2025-06-03 14:39:59,28,1014,60,4,124,6,1100
1748943602,2025-06-03 14:40:02,25,989,36,1,94,6,1100
1748943605,2025-06-03 14:40:05,22,1003,62,4,68,6,1100
1748943608,2025-06-03 14:40:08,29,1008,48,2,120,6,1100
1748943611,2025-06-03 14:40:11,28,1019,38,4,129,6,1100
1748943614,2025-06-03 14:40:14,28,1002,54,1,58,6,1100
1748943617,2025-06-03 14:40:17,29,992,66,3,138,6,1100
1748943620,2025-06-03 14:40:20,24,1012,77,5,78,6,1100
1748943623,2025-06-03 14:40:23,24,984,52,3,117,6,1100
1748943626,2025-06-03 14:40:26,22,1013,47,4,78,6,1100
1748943629,2025-06-03 14:40:29,24,993,45,1,59,6,1100
1748943632,2025-06-03 14:40:32,26,1004,71,1,59,6,1100
1748943635,2025-06-03 14:40:35,30,996,66,5,106,6,1100
1748943638,2025-06-03 14:40:38,23,986,42,4,127,6,1100
1748943641,2025-06-03 14:40:41,27,1012,72,1,60,6,1100
1748943644,2025-06-03 14:40:44,24,989,69,5,59,6,1100
1748943647,2025-06-03 14:40:47,29,1018,57,4,59,6,1100
1748943650,2025-06-03 14:40:50,24,982,61,3,117,6,1100
1748943653,2025-06-03 14:40:53,28,992,46,4,82,6,1100
1748943656,2025-06-03 14:40:56,25,1001,62,1,128,6,1100
1748943659,2025-06-03 14:40:59,29,993,34,4,100,6,1100
1748943662,2025-06-03 14:41:02,26,989,32,2,84,6,1100
