packet_id,timestamp,temperature,pressure,humidity,density,concentration,crc_ok
1750820056,2025-06-25 07:54:17,29,983,60,4,95,True
1750820086,2025-06-25 07:54:47,29,991,41,2,144,True
1750820116,2025-06-25 07:55:17,23,980,40,1,53,True
1750820146,2025-06-25 07:55:47,25,983,31,4,79,True
1750820176,2025-06-25 07:56:17,21,992,74,4,72,True
1750820206,2025-06-25 07:56:47,23,981,68,4,55,True
1750820236,2025-06-25 07:57:17,20,983,45,4,98,True
1750820266,2025-06-25 07:57:47,20,988,62,5,145,True
1750820296,2025-06-25 07:58:17,21,1003,61,2,87,True
1750820326,2025-06-25 07:58:47,26,1018,77,3,102,True
1750820356,2025-06-25 07:59:17,26,981,58,2,60,True
1750820386,2025-06-25 07:59:47,26,986,56,2,75,True
1750820416,2025-06-25 08:00:17,27,992,76,5,114,True
1750820446,2025-06-25 08:00:47,20,1002,36,2,68,True
1750820476,2025-06-25 08:01:17,29,1016,50,5,71,True
1750820506,2025-06-25 08:01:47,25,993,36,5,93,True
1750820536,2025-06-25 08:02:17,25,1014,38,3,55,True
1750820566,2025-06-25 08:02:47,28,992,38,5,67,True
1750820596,2025-06-25 08:03:17,21,1016,44,1,98,True
1750820626,2025-06-25 08:03:47,26,1014,62,1,126,True
1750820656,2025-06-25 08:04:17,24,1018,72,1,58,True
1750820686,2025-06-25 08:04:47,26,1018,47,4,50,True
1750820716,2025-06-25 08:05:17,30,992,62,5,134,True
1750820746,2025-06-25 08:05:47,22,987,30,5,114,True
1750820776,2025-06-25 08:06:17,25,985,40,2,141,True
1750820806,2025-06-25 08:06:47,30,982,79,5,69,True
1750820836,2025-06-25 08:07:17,20,1010,35,3,69,True
1750820866,2025-06-25 08:07:47,27,1015,65,2,75,True
1750820896,2025-06-25 08:08:17,20,982,51,3,85,True
1750820926,2025-06-25 08:08:47,22,990,30,1,79,True
1750820956,2025-06-25 08:09:17,20,983,46,4,111,True
1750820986,2025-06-25 08:09:47,25,1010,79,1,108,True
1750821016,2025-06-25 08:10:17,24,1013,46,3,69,True
1750821046,2025-06-25 08:10:47,30,1000,65,2,115,True
1750821076,2025-06-25 08:11:17,29,1000,47,4,62,True
1750821106,2025-06-25 08:11:47,24,1008,32,2,79,True
1750821136,2025-06-25 08:12:17,21,992,30,1,87,True
1750821167,2025-06-25 08:12:47,23,1012,56,1,110,True
1750821197,2025-06-25 08:13:17,23,997,49,4,130,True
1750821227,2025-06-25 08:13:47,24,984,53,5,141,True
1750821257,2025-06-25 08:14:17,22,982,55,3,134,True
1750821287,2025-06-25 08:14:47,28,1020,70,1,107,True
1750821317,2025-06-25 08:15:17,22,1007,45,2,73,True
1750821347,2025-06-25 08:15:47,26,1004,33,2,98,True
1750821377,2025-06-25 08:16:17,28,1003,67,4,128,True
1750821407,2025-06-25 08:16:47,23,1007,53,4,123,True
1750821437,2025-06-25 08:17:17,24,1004,71,2,95,True
1750821467,2025-06-25 08:17:47,25,1006,38,4,76,True
1750821497,2025-06-25 08:18:17,26,986,70,2,68,True
1750821527,2025-06-25 08:18:47,26,1001,43,3,106,True
1750821557,2025-06-25 08:19:17,29,1013,69,4,66,True
1750821587,2025-06-25 08:19:47,29,984,73,2,108,True
1750821617,2025-06-25 08:20:17,29,984,42,2,82,True
1750821647,2025-06-25 08:20:47,30,981,54,4,117,True
1750821677,2025-06-25 08:21:17,23,980,67,5,149,True
1750821707,2025-06-25 08:21:47,20,1009,63,5,74,True
1750821737,2025-06-25 08:22:17,22,992,54,2,137,True
1750821767,2025-06-25 08:22:47,27,988,76,5,85,True
1750821797,2025-06-25 08:23:17,23,1019,68,1,55,True
1750821827,2025-06-25 08:23:47,28,1014,73,3,103,True
1750821857,2025-06-25 08:24:17,22,989,48,4,55,True
1750821887,2025-06-25 08:24:47,30,993,36,4,88,True
