packet_id,timestamp,temperature,pressure,humidity,density,concentration
1750819939,2025-06-25 07:52:19,20,1019,60,1,119
1750820056,2025-06-25 07:54:16,29,983,60,4,95
1750820086,2025-06-25 07:54:46,29,991,41,2,144
1750820116,2025-06-25 07:55:16,23,980,40,1,53
1750820146,2025-06-25 07:55:46,25,983,31,4,79
1750820176,2025-06-25 07:56:16,21,992,74,4,72
1750820206,2025-06-25 07:56:46,23,981,68,4,55
1750820236,2025-06-25 07:57:16,20,983,45,4,98
1750820266,2025-06-25 07:57:46,20,988,62,5,145
1750820296,2025-06-25 07:58:16,21,1003,61,2,87
1750820326,2025-06-25 07:58:46,26,1018,77,3,102
1750820356,2025-06-25 07:59:16,26,981,58,2,60
1750820386,2025-06-25 07:59:46,26,986,56,2,75
1750820416,2025-06-25 08:00:16,27,992,76,5,114
1750820446,2025-06-25 08:00:46,20,1002,36,2,68
1750820476,2025-06-25 08:01:16,29,1016,50,5,71
1750820506,2025-06-25 08:01:46,25,993,36,5,93
1750820536,2025-06-25 08:02:16,25,1014,38,3,55
1750820566,2025-06-25 08:02:46,28,992,38,5,67
1750820596,2025-06-25 08:03:16,21,1016,44,1,98
1750820626,2025-06-25 08:03:46,26,1014,62,1,126
1750820656,2025-06-25 08:04:16,24,1018,72,1,58
1750820686,2025-06-25 08:04:46,26,1018,47,4,50
1750820716,2025-06-25 08:05:16,30,992,62,5,134
1750820746,2025-06-25 08:05:46,22,987,30,5,114
1750820776,2025-06-25 08:06:16,25,985,40,2,141
1750820806,2025-06-25 08:06:46,30,982,79,5,69
1750820836,2025-06-25 08:07:16,20,1010,35,3,69
1750820866,2025-06-25 08:07:46,27,1015,65,2,75
1750820896,2025-06-25 08:08:16,20,982,51,3,85
1750820926,2025-06-25 08:08:46,22,990,30,1,79
1750820956,2025-06-25 08:09:16,20,983,46,4,111
1750820986,2025-06-25 08:09:46,25,1010,79,1,108
1750821016,2025-06-25 08:10:16,24,1013,46,3,69
1750821046,2025-06-25 08:10:46,30,1000,65,2,115
1750821076,2025-06-25 08:11:16,29,1000,47,4,62
1750821106,2025-06-25 08:11:46,24,1008,32,2,79
1750821136,2025-06-25 08:12:16,21,992,30,1,87
1750821167,2025-06-25 08:12:47,23,1012,56,1,110
1750821197,2025-06-25 08:13:17,23,997,49,4,130
1750821227,2025-06-25 08:13:47,24,984,53,5,141
1750821257,2025-06-25 08:14:17,22,982,55,3,134
1750821287,2025-06-25 08:14:47,28,1020,70,1,107
1750821317,2025-06-25 08:15:17,22,1007,45,2,73
1750821347,2025-06-25 08:15:47,26,1004,33,2,98
1750821377,2025-06-25 08:16:17,28,1003,67,4,128
1750821407,2025-06-25 08:16:47,23,1007,53,4,123
1750821437,2025-06-25 08:17:17,24,1004,71,2,95
1750821467,2025-06-25 08:17:47,25,1006,38,4,76
1750821497,2025-06-25 08:18:17,26,986,70,2,68
1750821527,2025-06-25 08:18:47,26,1001,43,3,106
1750821557,2025-06-25 08:19:17,29,1013,69,4,66
1750821587,2025-06-25 08:19:47,29,984,73,2,108
