[2025-06-25 07:52:24] Задержка перед запуском: 1 сек
[2025-06-25 07:52:25] Приём по UART запущен
[2025-06-25 07:54:17] Пакет ID 1750820056 сохранён
[2025-06-25 07:54:47] Пакет ID 1750820086 сохранён
[2025-06-25 07:55:17] Пакет ID 1750820116 сохранён
[2025-06-25 07:55:47] Пакет ID 1750820146 сохранён
[2025-06-25 07:56:17] Пакет ID 1750820176 сохранён
[2025-06-25 07:56:47] Пакет ID 1750820206 сохранён
[2025-06-25 07:57:17] Пакет ID 1750820236 сохранён
[2025-06-25 07:57:47] Пакет ID 1750820266 сохранён
[2025-06-25 07:58:17] Пакет ID 1750820296 сохранён
[2025-06-25 07:58:47] Пакет ID 1750820326 сохранён
[2025-06-25 07:59:17] Пакет ID 1750820356 сохранён
[2025-06-25 07:59:47] Пакет ID 1750820386 сохранён
[2025-06-25 08:00:17] Пакет ID 1750820416 сохранён
[2025-06-25 08:00:47] Пакет ID 1750820446 сохранён
[2025-06-25 08:01:17] Пакет ID 1750820476 сохранён
[2025-06-25 08:01:47] Пакет ID 1750820506 сохранён
[2025-06-25 08:02:17] Пакет ID 1750820536 сохранён
[2025-06-25 08:02:47] Пакет ID 1750820566 сохранён
[2025-06-25 08:03:17] Пакет ID 1750820596 сохранён
[2025-06-25 08:03:47] Пакет ID 1750820626 сохранён
[2025-06-25 08:04:17] Пакет ID 1750820656 сохранён
[2025-06-25 08:04:47] Пакет ID 1750820686 сохранён
[2025-06-25 08:05:17] Пакет ID 1750820716 сохранён
[2025-06-25 08:05:47] Пакет ID 1750820746 сохранён
[2025-06-25 08:06:17] Пакет ID 1750820776 сохранён
[2025-06-25 08:06:47] Пакет ID 1750820806 сохранён
[2025-06-25 08:07:17] Пакет ID 1750820836 сохранён
[2025-06-25 08:07:47] Пакет ID 1750820866 сохранён
[2025-06-25 08:08:17] Пакет ID 1750820896 сохранён
[2025-06-25 08:08:47] Пакет ID 1750820926 сохранён
[2025-06-25 08:09:17] Пакет ID 1750820956 сохранён
[2025-06-25 08:09:47] Пакет ID 1750820986 сохранён
[2025-06-25 08:10:17] Пакет ID 1750821016 сохранён
[2025-06-25 08:10:47] Пакет ID 1750821046 сохранён
[2025-06-25 08:11:17] Пакет ID 1750821076 сохранён
[2025-06-25 08:11:47] Пакет ID 1750821106 сохранён
[2025-06-25 08:12:17] Пакет ID 1750821136 сохранён
[2025-06-25 08:12:47] Пакет ID 1750821167 сохранён
[2025-06-25 08:13:17] Пакет ID 1750821197 сохранён
[2025-06-25 08:13:47] Пакет ID 1750821227 сохранён
[2025-06-25 08:14:17] Пакет ID 1750821257 сохранён
[2025-06-25 08:14:47] Пакет ID 1750821287 сохранён
[2025-06-25 08:15:17] Пакет ID 1750821317 сохранён
[2025-06-25 08:15:47] Пакет ID 1750821347 сохранён
[2025-06-25 08:16:17] Пакет ID 1750821377 сохранён
[2025-06-25 08:16:47] Пакет ID 1750821407 сохранён
[2025-06-25 08:17:17] Пакет ID 1750821437 сохранён
[2025-06-25 08:17:47] Пакет ID 1750821467 сохранён
[2025-06-25 08:18:17] Пакет ID 1750821497 сохранён
[2025-06-25 08:18:47] Пакет ID 1750821527 сохранён
[2025-06-25 08:19:17] Пакет ID 1750821557 сохранён
[2025-06-25 08:19:47] Пакет ID 1750821587 сохранён
[2025-06-25 08:20:17] Пакет ID 1750821617 сохранён
[2025-06-25 08:20:47] Пакет ID 1750821647 сохранён
[2025-06-25 08:21:17] Пакет ID 1750821677 сохранён
[2025-06-25 08:21:47] Пакет ID 1750821707 сохранён
[2025-06-25 08:22:17] Пакет ID 1750821737 сохранён
[2025-06-25 08:22:47] Пакет ID 1750821767 сохранён
[2025-06-25 08:23:17] Пакет ID 1750821797 сохранён
[2025-06-25 08:23:47] Пакет ID 1750821827 сохранён
[2025-06-25 08:24:17] Пакет ID 1750821857 сохранён
[2025-06-25 08:24:47] Пакет ID 1750821887 сохранён
[2025-06-25 08:25:17] Пакет ID 1750821917 сохранён
[2025-06-25 08:25:47] Пакет ID 1750821947 сохранён
[2025-06-25 08:26:17] Пакет ID 1750821977 сохранён
[2025-06-25 08:26:47] Пакет ID 1750822007 сохранён
[2025-06-25 08:27:17] Пакет ID 1750822037 сохранён
[2025-06-25 08:27:47] Пакет ID 1750822067 сохранён
[2025-06-25 08:28:17] Пакет ID 1750822097 сохранён
[2025-06-25 08:28:47] Пакет ID 1750822127 сохранён
[2025-06-25 08:29:17] Пакет ID 1750822157 сохранён
[2025-06-25 08:29:47] Пакет ID 1750822187 сохранён
[2025-06-25 08:30:17] Пакет ID 1750822217 сохранён
[2025-06-25 08:30:47] Пакет ID 1750822247 сохранён
[2025-06-25 08:31:17] Пакет ID 1750822277 сохранён
[2025-06-25 08:31:47] Пакет ID 1750822307 сохранён
[2025-06-25 08:32:17] Пакет ID 1750822337 сохранён
[2025-06-25 08:32:47] Пакет ID 1750822367 сохранён
[2025-06-25 08:33:17] Пакет ID 1750822397 сохранён
[2025-06-25 08:33:47] Пакет ID 1750822427 сохранён
[2025-06-25 08:34:17] Пакет ID 1750822457 сохранён
[2025-06-25 08:34:47] Пакет ID 1750822487 сохранён
[2025-06-25 08:35:17] Пакет ID 1750822517 сохранён
[2025-06-25 08:35:47] Пакет ID 1750822547 сохранён
[2025-06-25 08:36:17] Пакет ID 1750822577 сохранён
[2025-06-25 08:36:47] Пакет ID 1750822607 сохранён
[2025-06-25 08:37:17] Пакет ID 1750822637 сохранён
[2025-06-25 08:37:47] Пакет ID 1750822667 сохранён
[2025-06-25 08:38:17] Пакет ID 1750822697 сохранён
[2025-06-25 08:38:47] Пакет ID 1750822727 сохранён
[2025-06-25 08:39:17] Пакет ID 1750822757 сохранён
[2025-06-25 08:39:48] Пакет ID 1750822787 сохранён
[2025-06-25 08:40:18] Пакет ID 1750822817 сохранён
[2025-06-25 08:40:48] Пакет ID 1750822847 сохранён
[2025-06-25 08:41:18] Пакет ID 1750822877 сохранён
[2025-06-25 08:41:48] Пакет ID 1750822907 сохранён
[2025-06-25 08:42:18] Пакет ID 1750822937 сохранён
[2025-06-25 08:42:48] Пакет ID 1750822967 сохранён
[2025-06-25 08:43:18] Пакет ID 1750822997 сохранён
[2025-06-25 08:43:48] Пакет ID 1750823027 сохранён
[2025-06-25 08:44:18] Пакет ID 1750823057 сохранён
[2025-06-25 08:44:48] Пакет ID 1750823087 сохранён
[2025-06-25 08:45:18] Пакет ID 1750823117 сохранён
[2025-06-25 08:45:48] Пакет ID 1750823147 сохранён
[2025-06-25 08:46:18] Пакет ID 1750823177 сохранён
[2025-06-25 08:46:48] Пакет ID 1750823207 сохранён
[2025-06-25 08:47:18] Пакет ID 1750823237 сохранён
[2025-06-25 08:47:48] Пакет ID 1750823267 сохранён
[2025-06-25 08:48:18] Пакет ID 1750823297 сохранён
[2025-06-25 08:48:48] Пакет ID 1750823327 сохранён
[2025-06-25 08:49:18] Пакет ID 1750823357 сохранён
[2025-06-25 08:49:48] Пакет ID 1750823387 сохранён
[2025-06-25 08:50:18] Пакет ID 1750823417 сохранён
[2025-06-25 08:50:48] Пакет ID 1750823447 сохранён
[2025-06-25 08:51:18] Пакет ID 1750823477 сохранён
[2025-06-25 08:51:48] Пакет ID 1750823507 сохранён
[2025-06-25 08:52:18] Пакет ID 1750823537 сохранён
[2025-06-25 08:52:48] Пакет ID 1750823567 сохранён
[2025-06-25 08:53:18] Пакет ID 1750823597 сохранён
[2025-06-25 08:53:48] Пакет ID 1750823627 сохранён
[2025-06-25 08:54:18] Пакет ID 1750823657 сохранён
[2025-06-25 08:54:48] Пакет ID 1750823687 сохранён
[2025-06-25 08:55:18] Пакет ID 1750823717 сохранён
[2025-06-25 08:55:48] Пакет ID 1750823747 сохранён
[2025-06-25 08:56:18] Пакет ID 1750823777 сохранён
[2025-06-25 08:56:48] Пакет ID 1750823807 сохранён
[2025-06-25 08:57:18] Пакет ID 1750823837 сохранён
[2025-06-25 08:57:48] Пакет ID 1750823867 сохранён
[2025-06-25 08:58:18] Пакет ID 1750823897 сохранён
[2025-06-25 08:58:48] Пакет ID 1750823927 сохранён
[2025-06-25 08:59:18] Пакет ID 1750823957 сохранён
[2025-06-25 08:59:48] Пакет ID 1750823988 сохранён
[2025-06-25 09:00:18] Пакет ID 1750824018 сохранён
[2025-06-25 09:00:48] Пакет ID 1750824048 сохранён
[2025-06-25 09:01:18] Пакет ID 1750824078 сохранён
[2025-06-25 09:01:48] Пакет ID 1750824108 сохранён
[2025-06-25 09:02:18] Пакет ID 1750824138 сохранён
[2025-06-25 09:02:48] Пакет ID 1750824168 сохранён
[2025-06-25 09:03:18] Пакет ID 1750824198 сохранён
[2025-06-25 09:03:48] Пакет ID 1750824228 сохранён
[2025-06-25 09:04:18] Пакет ID 1750824258 сохранён
[2025-06-25 09:04:48] Пакет ID 1750824288 сохранён
[2025-06-25 09:05:18] Пакет ID 1750824318 сохранён
[2025-06-25 09:05:48] Пакет ID 1750824348 сохранён
[2025-06-25 09:06:18] Пакет ID 1750824378 сохранён
[2025-06-25 09:06:48] Пакет ID 1750824408 сохранён
[2025-06-25 09:07:18] Пакет ID 1750824438 сохранён
[2025-06-25 09:07:48] Пакет ID 1750824468 сохранён
[2025-06-25 09:08:18] Пакет ID 1750824498 сохранён
[2025-06-25 09:08:48] Пакет ID 1750824528 сохранён
[2025-06-25 09:09:18] Пакет ID 1750824558 сохранён
[2025-06-25 09:09:48] Пакет ID 1750824588 сохранён
[2025-06-25 09:10:18] Пакет ID 1750824618 сохранён
[2025-06-25 09:10:48] Пакет ID 1750824648 сохранён
[2025-06-25 09:11:18] Пакет ID 1750824678 сохранён
[2025-06-25 09:11:48] Пакет ID 1750824708 сохранён
[2025-06-25 09:12:18] Пакет ID 1750824738 сохранён
[2025-06-25 09:12:48] Пакет ID 1750824768 сохранён
[2025-06-25 09:13:18] Пакет ID 1750824798 сохранён
[2025-06-25 09:13:48] Пакет ID 1750824828 сохранён
[2025-06-25 09:14:18] Пакет ID 1750824858 сохранён
[2025-06-25 09:14:48] Пакет ID 1750824888 сохранён
[2025-06-25 09:15:18] Пакет ID 1750824918 сохранён
[2025-06-25 09:15:48] Пакет ID 1750824948 сохранён
[2025-06-25 09:16:18] Пакет ID 1750824978 сохранён
[2025-06-25 09:16:48] Пакет ID 1750825008 сохранён
[2025-06-25 09:17:18] Пакет ID 1750825038 сохранён
[2025-06-25 09:17:48] Пакет ID 1750825068 сохранён
[2025-06-25 09:18:18] Пакет ID 1750825098 сохранён
[2025-06-25 09:18:48] Пакет ID 1750825128 сохранён
[2025-06-25 09:19:18] Пакет ID 1750825158 сохранён
[2025-06-25 09:19:48] Пакет ID 1750825188 сохранён
[2025-06-25 09:20:18] Пакет ID 1750825218 сохранён
[2025-06-25 09:20:48] Пакет ID 1750825248 сохранён
[2025-06-25 09:21:18] Пакет ID 1750825278 сохранён
[2025-06-25 09:21:48] Пакет ID 1750825308 сохранён
[2025-06-25 09:22:18] Пакет ID 1750825338 сохранён
[2025-06-25 09:22:48] Пакет ID 1750825368 сохранён
[2025-06-25 09:23:18] Пакет ID 1750825398 сохранён
[2025-06-25 09:23:48] Пакет ID 1750825428 сохранён
[2025-06-25 09:24:18] Пакет ID 1750825458 сохранён
[2025-06-25 09:24:48] Пакет ID 1750825488 сохранён
[2025-06-25 09:25:18] Пакет ID 1750825518 сохранён
[2025-06-25 09:25:48] Пакет ID 1750825548 сохранён
[2025-06-25 09:26:18] Пакет ID 1750825578 сохранён
[2025-06-25 09:26:49] Пакет ID 1750825608 сохранён
[2025-06-25 09:27:19] Пакет ID 1750825638 сохранён
[2025-06-25 09:27:49] Пакет ID 1750825668 сохранён
[2025-06-25 09:28:19] Пакет ID 1750825698 сохранён
[2025-06-25 09:28:49] Пакет ID 1750825728 сохранён
[2025-06-25 09:29:19] Пакет ID 1750825758 сохранён
[2025-06-25 09:29:49] Пакет ID 1750825788 сохранён
[2025-06-25 09:30:19] Пакет ID 1750825818 сохранён
[2025-06-25 09:30:49] Пакет ID 1750825848 сохранён
[2025-06-25 09:31:19] Пакет ID 1750825878 сохранён
[2025-06-25 09:31:49] Пакет ID 1750825908 сохранён
[2025-06-25 09:32:19] Пакет ID 1750825938 сохранён
[2025-06-25 09:32:49] Пакет ID 1750825968 сохранён
[2025-06-25 09:33:19] Пакет ID 1750825998 сохранён
[2025-06-25 09:33:49] Пакет ID 1750826028 сохранён
[2025-06-25 09:34:19] Пакет ID 1750826058 сохранён
[2025-06-25 09:34:49] Пакет ID 1750826088 сохранён
[2025-06-25 09:35:19] Пакет ID 1750826118 сохранён
[2025-06-25 09:35:49] Пакет ID 1750826148 сохранён
[2025-06-25 09:36:19] Пакет ID 1750826178 сохранён
[2025-06-25 09:36:49] Пакет ID 1750826208 сохранён
