packet_id,timestamp,temperature,pressure,humidity,density,concentration,crc_ok
1748939205,2025-06-03 13:21:54,20,997,54,5,138,True
1748939208,2025-06-03 13:21:57,26,984,47,2,92,True
1748939211,2025-06-03 13:22:00,29,994,45,1,147,True
1748939214,2025-06-03 13:22:03,23,993,71,4,87,True
1748939217,2025-06-03 13:22:06,30,985,34,3,126,True
1748939220,2025-06-03 13:22:09,26,991,73,4,101,True
1748939223,2025-06-03 13:22:12,20,992,59,3,87,True
1748939226,2025-06-03 13:22:15,26,1007,79,1,98,True
1748939229,2025-06-03 13:22:18,23,996,34,2,108,True
1748939232,2025-06-03 13:22:21,28,982,50,3,131,True
1748939235,2025-06-03 13:22:24,26,1012,35,3,55,True
1748939238,2025-06-03 13:22:27,21,982,32,2,98,True
1748939241,2025-06-03 13:22:30,22,1017,54,4,97,True
1748939244,2025-06-03 13:22:33,25,980,60,2,65,True
1748939247,2025-06-03 13:22:36,25,1013,58,5,103,True
1748939250,2025-06-03 13:22:39,30,992,64,1,77,True
1748939253,2025-06-03 13:22:42,25,1001,77,1,83,True
1748939256,2025-06-03 13:22:45,29,981,40,2,111,True
1748939259,2025-06-03 13:22:48,22,981,54,4,112,True
1748939262,2025-06-03 13:22:51,24,993,48,5,59,True
1748939265,2025-06-03 13:22:54,24,985,31,5,140,True
1748939268,2025-06-03 13:22:57,24,997,34,3,105,True
1748939271,2025-06-03 13:23:00,20,1002,48,5,128,True
1748939274,2025-06-03 13:23:03,25,983,54,2,106,True
1748939277,2025-06-03 13:23:06,25,1005,53,1,118,True
1748939280,2025-06-03 13:23:09,23,996,63,2,147,True
1748939283,2025-06-03 13:23:12,28,1006,45,1,56,True
1748939286,2025-06-03 13:23:15,21,991,60,1,69,True
1748939289,2025-06-03 13:23:18,24,987,31,3,75,True
1748939292,2025-06-03 13:23:21,29,1001,43,4,74,True
1748939295,2025-06-03 13:23:24,24,990,56,5,100,True
1748939298,2025-06-03 13:23:27,22,997,36,2,142,True
1748939301,2025-06-03 13:23:30,30,980,73,2,117,True
