packet_id,timestamp,temperature,pressure,humidity,density,concentration,run_number,distance_m
1748941028,2025-06-03 13:57:08,30,995,61,5,139,4,500
1748941031,2025-06-03 13:57:11,25,994,61,3,102,4,500
1748941034,2025-06-03 13:57:14,24,1008,45,2,104,4,500
1748941037,2025-06-03 13:57:17,30,1000,70,2,81,4,500
1748941040,2025-06-03 13:57:20,20,1000,68,1,72,4,500
1748941043,2025-06-03 13:57:23,20,1013,36,4,145,4,500
1748941046,2025-06-03 13:57:26,25,991,43,3,66,4,500
1748941049,2025-06-03 13:57:29,21,990,72,4,103,4,500
1748941052,2025-06-03 13:57:32,25,981,42,4,74,4,500
1748941055,2025-06-03 13:57:35,27,1004,57,3,108,4,500
1748941058,2025-06-03 13:57:38,30,993,41,5,132,4,500
1748941061,2025-06-03 13:57:41,25,1012,45,4,91,4,500
1748941064,2025-06-03 13:57:44,29,991,54,2,145,4,500
1748941067,2025-06-03 13:57:47,27,1011,75,5,143,4,500
1748941070,2025-06-03 13:57:50,28,990,42,5,75,4,500
1748941073,2025-06-03 13:57:53,26,1013,58,5,50,4,500
1748941076,2025-06-03 13:57:56,20,994,63,5,124,4,500
1748941079,2025-06-03 13:57:59,24,982,31,3,149,4,500
1748941082,2025-06-03 13:58:02,28,1005,36,4,89,4,500
1748941085,2025-06-03 13:58:05,20,1012,45,3,66,4,500
1748941088,2025-06-03 13:58:08,26,990,77,3,122,4,500
1748941091,2025-06-03 13:58:11,20,986,63,1,136,4,500
1748941094,2025-06-03 13:58:14,25,991,80,5,118,4,500
1748941097,2025-06-03 13:58:17,30,1010,63,2,81,4,500
1748941100,2025-06-03 13:58:20,30,988,50,1,99,4,500
1748941103,2025-06-03 13:58:23,21,981,33,4,86,4,500
1748941106,2025-06-03 13:58:26,28,988,55,2,77,4,500
1748941109,2025-06-03 13:58:29,23,1007,78,5,84,4,500
1748941112,2025-06-03 13:58:32,21,1012,43,4,57,4,500
1748941115,2025-06-03 13:58:35,24,983,73,4,132,4,500
1748941118,2025-06-03 13:58:38,25,992,35,1,121,4,500
1748941121,2025-06-03 13:58:41,24,985,36,1,70,4,500
1748941124,2025-06-03 13:58:44,29,998,38,5,113,4,500
1748941127,2025-06-03 13:58:47,25,980,63,5,95,4,500
1748941130,2025-06-03 13:58:50,25,1020,42,2,92,4,500
1748941133,2025-06-03 13:58:53,30,1012,46,1,124,4,500
1748941136,2025-06-03 13:58:56,27,995,53,4,130,4,500
1748941139,2025-06-03 13:58:59,20,1010,78,2,105,4,500
