[2025-06-02 22:13:57] Задержка перед запуском: 1 сек
[2025-06-02 22:13:58] Приём по UART запущен
[2025-06-02 22:14:15] Пакет ID 1748935932 сохранён
[2025-06-02 22:14:18] Пакет ID 1748935935 сохранён
[2025-06-02 22:14:21] Пакет ID 1748935938 сохранён
[2025-06-02 22:14:24] Пакет ID 1748935941 сохранён
[2025-06-02 22:14:27] Пакет ID 1748935944 сохранён
[2025-06-02 22:14:30] Пакет ID 1748935947 сохранён
[2025-06-02 22:14:33] Пакет ID 1748935950 сохранён
[2025-06-02 22:14:36] Пакет ID 1748935953 сохранён
[2025-06-02 22:14:39] Пакет ID 1748935956 сохранён
[2025-06-02 22:14:42] Пакет ID 1748935959 сохранён
[2025-06-02 22:14:45] Пакет ID 1748935962 сохранён
[2025-06-02 22:14:48] Пакет ID 1748935965 сохранён
[2025-06-02 22:14:51] Пакет ID 1748935968 сохранён
[2025-06-02 22:14:54] Пакет ID 1748935971 сохранён
[2025-06-02 22:14:57] Пакет ID 1748935974 сохранён
[2025-06-02 22:15:00] Пакет ID 1748935977 сохранён
[2025-06-02 22:15:03] Пакет ID 1748935980 сохранён
[2025-06-02 22:15:06] Пакет ID 1748935983 сохранён
[2025-06-02 22:15:09] Пакет ID 1748935986 сохранён
[2025-06-02 22:15:12] Пакет ID 1748935989 сохранён
[2025-06-02 22:15:15] Пакет ID 1748935992 сохранён
[2025-06-02 22:15:18] Пакет ID 1748935995 сохранён
[2025-06-02 22:15:21] Пакет ID 1748935998 сохранён
[2025-06-02 22:15:24] Пакет ID 1748936001 сохранён
[2025-06-02 22:15:27] Пакет ID 1748936004 сохранён
[2025-06-02 22:15:30] Пакет ID 1748936007 сохранён
[2025-06-02 22:15:33] Пакет ID 1748936010 сохранён
[2025-06-02 22:15:36] Пакет ID 1748936013 сохранён
[2025-06-02 22:15:39] Пакет ID 1748936016 сохранён
[2025-06-02 22:15:42] Пакет ID 1748936019 сохранён
[2025-06-02 22:15:45] Пакет ID 1748936022 сохранён
[2025-06-02 22:15:48] Пакет ID 1748936025 сохранён
[2025-06-02 22:15:51] Пакет ID 1748936028 сохранён
[2025-06-02 22:15:54] Пакет ID 1748936031 сохранён
[2025-06-02 22:15:57] Пакет ID 1748936034 сохранён
[2025-06-02 22:16:00] Пакет ID 1748936037 сохранён
[2025-06-02 22:16:03] Пакет ID 1748936040 сохранён
[2025-06-02 22:16:06] Пакет ID 1748936043 сохранён
[2025-06-02 22:16:09] Пакет ID 1748936046 сохранён
[2025-06-02 22:16:12] Пакет ID 1748936049 сохранён
[2025-06-02 22:16:15] Пакет ID 1748936052 сохранён
[2025-06-02 22:16:18] Пакет ID 1748936055 сохранён
[2025-06-02 22:16:21] Пакет ID 1748936058 сохранён
[2025-06-02 22:16:24] Пакет ID 1748936061 сохранён
[2025-06-02 22:16:27] Пакет ID 1748936064 сохранён
[2025-06-02 22:16:30] Пакет ID 1748936067 сохранён
[2025-06-02 22:16:33] Пакет ID 1748936070 сохранён
[2025-06-02 22:16:36] Пакет ID 1748936073 сохранён
[2025-06-02 22:16:39] Пакет ID 1748936076 сохранён
[2025-06-02 22:16:42] Пакет ID 1748936079 сохранён
[2025-06-02 22:16:45] Пакет ID 1748936082 сохранён
[2025-06-02 22:16:48] Пакет ID 1748936085 сохранён
[2025-06-02 22:16:51] Пакет ID 1748936088 сохранён
[2025-06-02 22:16:54] Пакет ID 1748936091 сохранён
[2025-06-02 22:16:57] Пакет ID 1748936094 сохранён
[2025-06-02 22:17:00] Пакет ID 1748936097 сохранён
[2025-06-02 22:17:03] Пакет ID 1748936100 сохранён
[2025-06-02 22:17:06] Пакет ID 1748936103 сохранён
[2025-06-02 22:17:09] Пакет ID 1748936106 сохранён
[2025-06-02 22:17:12] Пакет ID 1748936109 сохранён
[2025-06-02 22:17:15] Пакет ID 1748936112 сохранён
[2025-06-02 22:17:18] Пакет ID 1748936115 сохранён
[2025-06-02 22:17:21] Пакет ID 1748936118 сохранён
[2025-06-02 22:17:24] Пакет ID 1748936121 сохранён
